name,address,latitude,longitude
十八份,站牌代碼 20300,25.150479,121.523106
果菜市場,站牌代碼 4622,25.01987,121.497706
瑞陽三號公園,站牌代碼 1011,25.074753,121.58175
錦州街口,站牌代碼 1001085,25.061044,121.530233
重慶南路一段,站牌代碼 1963,25.044468,121.513166
東和公園,站牌代碼 14675,25.121666,121.533227
童軍站,站牌代碼 833,25.158355,121.546842
源之鄉,站牌代碼 461,25.14134,121.50781
下塔悠,站牌代碼 1000812,25.072404,121.556488
自來水西分處(�,站牌代碼 1916,25.029828,121.5157
岩山里一,站牌代碼 712,25.10334,121.53693
紫陽,站牌代碼 20404,25.07507,121.58479
荒山劇場,站牌代碼 328,25.139687,121.473308
新湖行善路口,站牌代碼 996,25.064815,121.585283
長春國小,站牌代碼 1296,25.05272,121.537138
土地銀行,站牌代碼 2031,25.037996,121.575429
舊莊站,站牌代碼 50093,25.039219,121.623379
下七股(花藝村�,站牌代碼 20333,25.184047,121.573679
立法院,站牌代碼 227,25.043292,121.519461
黎安里,站牌代碼 4163,25.012278,121.564905
倫仔尾,站牌代碼 775,25.130767,121.573258
飛航服務總台,站牌代碼 1000803,25.072106,121.551486
研創中心,站牌代碼 14694,24.979688,121.575278
草湳,站牌代碼 327,24.970358,121.605405
地熱谷,站牌代碼 163,25.136668,121.510302
指南國小,站牌代碼 2398,24.976303,121.583634
南京西路口(鈕�,站牌代碼 5999,25.054428,121.511797
望遠亭(老泉里),站牌代碼 1001386,24.970142,121.578847
石潭成功路口,站牌代碼 4811,25.063327,121.589564
市民光復路口,站牌代碼 1736,25.044387,121.557823
清江里,站牌代碼 395,25.12874,121.50117
大坪尾一,站牌代碼 9495,25.122375,121.573657
興雅國中,站牌代碼 20346,25.035227,121.574722
新北投,站牌代碼 456,25.137791,121.502937
合誠宮,站牌代碼 1000790,25.130936,121.57431
陽明公園後門,站牌代碼 1001461,25.16028,121.53593
公館里,站牌代碼 626,25.12654,121.56444
臺北商大(濟南),站牌代碼 1903,25.042011,121.524811
精技大樓,站牌代碼 1139,25.06438,121.582373
安泰里,站牌代碼 50422,25.073926,121.61747
黎雙公園,站牌代碼 2175,25.02437,121.56062
新安里西站,站牌代碼 868,25.131263,121.554435
救千宮,站牌代碼 2439,24.972909,121.568613
松壽路口,站牌代碼 2105,25.035784,121.567408
軍人公墓(正門),站牌代碼 1688,25.033329,121.612202
景華街一,站牌代碼 1001339,24.995584,121.54688
春天酒店,站牌代碼 285,25.137551,121.513898
行義路,站牌代碼 7215,25.13051,121.52812
潭美國小(行善),站牌代碼 4814,25.060371,121.582062
迪化街,站牌代碼 1451,25.056898,121.511245
富洲里八段,站牌代碼 828,25.105526,121.484418
新民國中,站牌代碼 1001295,25.139399,121.507572
捷運北投站(育�,站牌代碼 359,25.132555,121.498722
捷運萬芳醫院�,站牌代碼 4065,24.999864,121.556957
行善宮,站牌代碼 1034,25.053123,121.576818
安湖站,站牌代碼 4974,25.072024,121.615619
新安路一,站牌代碼 60148,25.11927,121.55368
政大學苑,站牌代碼 2416,24.985259,121.583528
捷運南港軟體�,站牌代碼 4899,25.059729,121.616103
承德橋站,站牌代碼 4045,25.076092,121.520113
行善石潭路口,站牌代碼 4821,25.064213,121.585553
陽明山中國大�,站牌代碼 14423,25.143045,121.549278
新生公園,站牌代碼 1361,25.068237,121.528583
建國中學(歷史�,站牌代碼 6717,25.031565,121.512879
蘆洲里,站牌代碼 50440,25.062263,121.597272
山仔后,站牌代碼 14418,25.138063,121.547143
內湖派出所一,站牌代碼 8611,25.081455,121.590454
樂業街,站牌代碼 20295,25.019769,121.553221
頂半嶺,站牌代碼 1000414,25.143916,121.539446
新安路一,站牌代碼 869,25.119283,121.553564
臨時站四,站牌代碼 4727,25.031051,121.621697
漢口街,站牌代碼 1821,25.045146,121.512505
大稻埕碼頭,站牌代碼 16251,25.056748,121.507949
聚福宮,站牌代碼 1824,25.026609,121.496097
臺北市立大學,站牌代碼 1878,25.035389,121.513703
市立圖書館(景�,站牌代碼 1001485,25.003012,121.535568
洲美運動公園,站牌代碼 291,25.107864,121.499188
冷水坑(往擎天�,站牌代碼 702,25.167494,121.563098
榮總,站牌代碼 14624,25.118597,121.518023
美麗華(樂群),站牌代碼 4073,25.082702,121.557103
福德坑環保復�,站牌代碼 56113,25.00717,121.58984
衡陽路,站牌代碼 2020,25.042274,121.510218
鷺鷥草原,站牌代碼 4780,25.130992,121.466983
永公路二,站牌代碼 663,25.1158,121.55418
政大御花園,站牌代碼 2420,24.985656,121.587266
衛生福利部,站牌代碼 1001044,25.050244,121.594985
景興國中,站牌代碼 57706,24.997156,121.544517
社子市場二,站牌代碼 5034,25.088695,121.508044
大崙尾山,站牌代碼 50534,25.10657,121.569807
福興路口,站牌代碼 20384,25.002818,121.551397
