公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,緯度,經度,定位方式,比對地址,定位分數
22555003,統一超商股份有限公司,60600284,台北市第一二六二分公司,臺北市士林區和豐街39巷2號,1,1140905,       ,25.08254849123,121.517834952808,門牌級(arcgis),"台北市士林區福華里和豐街39巷2號, 11168",100
22555003,統一超商股份有限公司,60600290,台北市第一二六三分公司,臺北市士林區德行東路109巷61號,1,1140905,       ,25.109492915268,121.528393636238,門牌級(arcgis),"台北市士林區蘭雅里德行東路109巷61號, 11148",100
22555003,統一超商股份有限公司,60600361,台北市第一二六四分公司,臺北市松山區健康路325巷5弄1號,1,1140909,       ,25.054792740873,121.566907810777,門牌級(arcgis),"台北市松山區鵬程里健康路325巷5弄1號, 10586",100
22555003,統一超商股份有限公司,60600658,台北市第一二六五分公司,臺北市北投區知行路1號,1,1140912,       ,25.117991452626,121.46529492059,門牌級(arcgis),"台北市北投區關渡里知行路1號, 11260",100
22555003,統一超商股份有限公司,60613014,台北市第一二五五分公司,臺北市大同區民生西路409、411號,1,1140708,       ,25.056980763785,121.509128108565,門牌級(arcgis),"台北市大同區大稻埕民生西路409號, 103001",97.34
22555003,統一超商股份有限公司,60613106,台北市第一二五六分公司,臺北市大同區南京西路71號,1,1140708,       ,25.053167489848,121.518769954107,門牌級(arcgis),台北市大同區光能里南京西路71號,100
22555003,統一超商股份有限公司,60613470,台北市第一二五七分公司,臺北市萬華區環河南路一段35號,1,1140723,       ,25.046258789974,121.503486643314,門牌級(arcgis),台北市萬華區萬壽里環河南路一段35號,100
22555003,統一超商股份有限公司,60635621,台北市第一二五四分公司,臺北市萬華區西園路一段171、173號壹樓,1,1140624,       ,25.034722073589,121.499404752296,門牌級(arcgis),"台北市萬華區西園路一段171號, 108020",98.13
22555003,統一超商股份有限公司,60654133,台北市第一二五八分公司,臺北市中山區松江路26巷32號、34號,1,1140801,       ,25.047050964595,121.531560058039,門牌級(arcgis),"台北市中山區松江路26巷32號, 104093",98.05
22555003,統一超商股份有限公司,60654204,台北市第一二五九分公司,臺北市中正區和平西路二段70巷15弄3號1樓,1,1140804,       ,25.028164188856,121.511319783289,門牌級(arcgis),"台北市中正區龍興里和平西路二段70巷15弄3號, 10070",100
