id,host_id,name,neighbourhood_cleansed,room_type,price,availability_90,unmatched_reason
1532938033698518838,170273202,[有窗]Double Room｜Perfect for Weekend  | Near Ximen,萬華區,Entire home/apt,"$1,300.00",76,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532959185058187634,170273202,[有窗] Double | Cozy Vibes | Near MRT Ximen,萬華區,Entire home/apt,"$1,300.00",71,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532964429661406551,170273202,[有窗]Cozy Double Stay｜Near Ximen  | Sweet Home,萬華區,Entire home/apt,"$1,300.00",79,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532968016928262373,170273202,Double ｜Ideal for Solo Travelers  | MRT Ximen,萬華區,Entire home/apt,"$1,300.00",79,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1533184472986855302,170273202,[有窗]Leisure Double Suite｜06R3 | Near MRT Ximen,萬華區,Entire home/apt,"$1,300.00",81,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1533557507750586521,724392679,The Hidden Loft 隱樓@西門町mrt(1-6人）,萬華區,Entire home/apt,"$6,190.00",50,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1534606209341972862,23429744,Di-House | Spacious | Cozy | Central | Long Stay,大同區,Entire home/apt,"$4,007.00",58,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1534775650831018950,724638744,｜CS-67 >ᴗ<｜Ximen Mrt 3mins (1~2人房),萬華區,Entire home/apt,"$2,069.33",72,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1534940988570961074,724392679,Lumi House 光寓｜西門 Designer House(1-8人),中正區,Entire home/apt,"$5,715.00",64,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1536014961624885731,597100626,[有窗]Bright 3-Person Stay｜Near Ximen MRT,萬華區,Entire home/apt,"$2,050.00",59,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1536097949928639856,724638744,｜CS-11 >ᴗ<｜Ximen Mrt 3mins (1~2人房),萬華區,Entire home/apt,"$2,069.33",79,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
